"Tabela 137 - População residente, por religião"
"Variável - População residente (Pessoas)"
"Município","Ano x Religião"
"Município","2000"
"Município","Total","Católica Apostólica Romana","Evangélicas","Outras religiosidades cristãs","Testemunhas de Jeová","Espírita","Umbanda e Candomblé","Judaica","Judaísmo","Budismo","Islâmica","Islamismo","Sem religião","Não determinada e multiplo pertencimento"
"Plácido de Castro (AC)","15172","8942","3883","...","29","111","...","-","...","-","-","...","2124","..."
"Porto Walter (AC)","5485","5114","353","...","-","-","...","-","...","-","-","...","-","..."
"Rio Branco (AC)","253059","155630","58895","...","1598","1255","...","12","...","22","37","...","30561","..."
"Rodrigues Alves (AC)","8093","5675","2123","...","-","-","...","-","...","-","-","...","268","..."
"Santa Rosa do Purus (AC)","2246","1437","293","...","-","-","...","-","...","-","-","...","514","..."
"Senador Guiomard (AC)","19761","12793","4571","...","45","21","...","-","...","13","-","...","2075","..."
"Sena Madureira (AC)","29420","21165","5401","...","113","-","...","-","...","-","-","...","2687","..."
"Tarauacá (AC)","26037","23139","2267","...","14","33","...","-","...","-","-","...","520","..."
"Xapuri (AC)","11956","9497","1564","...","29","-","...","-","...","-","-","...","829","..."
"Porto Acre (AC)","11418","7171","2899","...","4","-","...","-","...","-","-","...","1307","..."
"Alvarães (AM)","12150","9796","2310","...","-","-","...","-","...","-","-","...","20","..."
"Amaturá (AM)","7308","5339","1293","...","-","-","...","-","...","-","-","...","16","..."
"Anamã (AM)","6563","4663","1504","...","-","-","...","-","...","-","-","...","344","..."
"Anori (AM)","11320","8573","2573","...","-","-","...","-","...","-","-","...","138","..."
"Apuí (AM)","13864","8953","3981","...","50","40","...","-","...","-","-","...","513","..."
"Atalaia do Norte (AM)","10049","6217","766","...","-","11","...","-","...","-","-","...","2881","..."
"Autazes (AM)","24345","16687","5355","...","474","-","...","-","...","-","-","...","1817","..."
"Barcelos (AM)","24197","15030","3244","...","41","-","...","-","...","-","-","...","5766","..."
"Barreirinha (AM)","22579","18399","3975","...","-","-","...","-","...","-","-","...","165","..."
"Benjamin Constant (AM)","23219","15150","4492","...","-","8","...","-","...","-","-","...","330","..."
"Beruri (AM)","11038","7662","2976","...","5","-","...","-","...","-","-","...","216","..."
"Boa Vista do Ramos (AM)","10653","9559","1067","...","-","-","...","-","...","-","-","...","-","..."
"Boca do Acre (AM)","26959","20673","4936","...","213","-","...","5","...","-","-","...","499","..."
"Borba (AM)","28619","22121","3104","...","-","-","...","-","...","-","-","...","3230","..."
"Caapiranga (AM)","8803","6484","2050","...","18","-","...","-","...","-","-","...","207","..."
"Canutama (AM)","10737","8537","1357","...","-","-","...","-","...","-","-","...","631","..."
"Carauari (AM)","23421","16201","3652","...","69","-","...","-","...","-","-","...","3362","..."
"Careiro (AM)","27554","16882","8914","...","306","6","...","-","...","-","-","...","1280","..."
"Careiro da Várzea (AM)","17267","13778","2820","...","-","-","...","-","...","-","-","...","593","..."
"Coari (AM)","67096","48984","14753","...","154","-","...","-","...","-","-","...","866","..."
"Codajás (AM)","17507","12965","3255","...","144","-","...","-","...","-","-","...","946","..."
"Eirunepé (AM)","26074","21165","4041","...","78","-","...","-","...","-","-","...","611","..."
"Envira (AM)","19060","15356","3201","...","-","-","...","-","...","-","-","...","344","..."
"Fonte Boa (AM)","33045","25111","7322","...","17","-","...","-","...","-","-","...","278","..."
"Guajará (AM)","13220","10692","1878","...","46","-","...","-","...","-","-","...","570","..."
"Humaitá (AM)","32796","27241","3661","...","87","21","...","-","...","-","-","...","945","..."
"Ipixuna (AM)","14759","12744","820","...","-","-","...","-","...","-","-","...","1137","..."
"Iranduba (AM)","32303","23892","6297","...","297","-","...","-","...","-","-","...","1717","..."
"Itacoatiara (AM)","72105","54013","14931","...","284","103","...","-","...","-","-","...","2202","..."
"Itamarati (AM)","8406","6011","1322","...","-","-","...","-","...","-","-","...","993","..."
"Itapiranga (AM)","7309","5516","1346","...","21","-","...","-","...","7","-","...","418","..."
"Japurá (AM)","10285","5165","4571","...","-","-","...","-","...","-","-","...","452","..."
"Juruá (AM)","6584","4663","1278","...","38","-","...","-","...","-","-","...","581","..."
"Jutaí (AM)","23267","14938","4468","...","53","6","...","-","...","-","-","...","2215","..."
"Lábrea (AM)","28956","25624","2846","...","19","-","...","-","...","-","-","...","260","..."
"Manacapuru (AM)","73695","48400","18964","...","853","-","...","-","...","9","-","...","4488","..."
"Manaquiri (AM)","12711","9148","3382","...","101","-","...","-","...","-","-","...","30","..."
"Manaus (AM)","1405835","958204","311872","...","10349","8962","...","627","...","860","131","...","88946","..."
"Manicoré (AM)","38038","32920","4524","...","44","-","...","-","...","-","-","...","448","..."
"Maraã (AM)","17079","10265","6303","...","-","-","...","-","...","-","-","...","367","..."
"Maués (AM)","40036","32838","6339","...","42","-","...","-","...","-","-","...","666","..."
"Nhamundá (AM)","15355","13071","2205","...","59","-","...","-","...","-","-","...","-","..."
"Nova Olinda do Norte (AM)","23725","17979","4499","...","122","-","...","-","...","-","-","...","1078","..."
"Novo Airão (AM)","9651","6398","2085","...","-","10","...","-","...","-","-","...","1047","..."
"Novo Aripuanã (AM)","17119","15205","1666","...","-","-","...","-","...","-","-","...","133","..."
"Parintins (AM)","92118","78066","12326","...","94","-","...","-","...","-","-","...","1284","..."
"Pauini (AM)","17092","12342","3307","...","-","-","...","-","...","-","-","...","382","..."
"Presidente Figueiredo (AM)","17394","11648","4089","...","106","29","...","-","...","4","-","...","1435","..."
"Rio Preto da Eva (AM)","17582","11245","4077","...","242","54","...","-","...","19","-","...","1840","..."
"Santa Isabel do Rio Negro (AM)","10561","8018","979","...","-","-","...","-","...","-","-","...","1494","..."
"Santo Antônio do Içá (AM)","28213","17393","9746","...","163","-","...","-","...","-","-","...","369","..."
"São Gabriel da Cachoeira (AM)","29947","23502","5856","...","43","23","...","-","...","20","-","...","294","..."
"São Paulo de Olivença (AM)","23113","12935","9688","...","-","-","...","-","...","-","-","...","167","..."
"São Sebastião do Uatumã (AM)","7414","4724","2131","...","148","-","...","-","...","-","-","...","390","..."
"Silves (AM)","7785","6352","1170","...","86","-","...","-","...","-","-","...","162","..."
"Tabatinga (AM)","37919","21265","7748","...","386","33","...","31","...","-","-","...","2530","..."
"Tapauá (AM)","20595","7871","9181","...","20","-","...","-","...","-","-","...","3468","..."
"Tefé (AM)","64457","46541","15146","...","331","29","...","-","...","-","-","...","1351","..."
"Tonantins (AM)","15512","12294","2872","...","52","-","...","-","...","-","-","...","221","..."
"Uarini (AM)","10254","6949","2874","...","-","-","...","-","...","-","-","...","335","..."
"Urucará (AM)","18372","14962","2481","...","136","-","...","-","...","-","-","...","766","..."
"Urucurituba (AM)","12264","10410","1681","...","5","-","...","-","...","-","-","...","116","..."
"Amajari (RR)","5294","2982","1235","...","-","-","...","-","...","-","-","...","964","..."
"Alto Alegre (RR)","17907","14944","2230","...","92","-","...","-","...","-","-","...","567","..."
"Boa Vista (RR)","200568","133099","46433","...","961","1242","...","-","...","432","8","...","15607","..."
"Bonfim (RR)","9326","5681","1811","...","28","16","...","-","...","-","-","...","1759","..."
"Cantá (RR)","8571","5862","1975","...","15","-","...","-","...","-","-","...","669","..."
"Caracaraí (RR)","14286","8619","3756","...","98","34","...","-","...","85","-","...","1484","..."
"Caroebe (RR)","5692","2116","2360","...","26","5","...","-","...","-","-","...","1128","..."
"Iracema (RR)","4781","3369","841","...","6","-","...","-","...","-","-","...","523","..."
"Mucajaí (RR)","11247","8676","1855","...","17","37","...","-","...","-","-","...","597","..."
"Normandia (RR)","6138","3997","876","...","-","-","...","-","...","-","-","...","1163","..."
"Pacaraima (RR)","6990","4292","2149","...","20","-","...","-","...","-","-","...","430","..."
"Rorainópolis (RR)","17393","11167","3860","...","76","14","...","-","...","-","-","...","2129","..."
"São João da Baliza (RR)","5091","3551","1139","...","25","6","...","-","...","-","-","...","341","..."
"São Luiz (RR)","5311","3253","1481","...","28","5","...","-","...","-","-","...","520","..."
"Uiramutã (RR)","5802","3959","947","...","-","-","...","-","...","-","-","...","607","..."
"Abaetetuba (PA)","119152","98230","16948","...","607","38","...","-","...","29","-","...","2516","..."
"Abel Figueiredo (PA)","5957","4319","977","...","4","-","...","-","...","-","-","...","656","..."
"Acará (PA)","52126","33230","13016","...","-","-","...","-","...","47","-","...","3577","..."
"Afuá (PA)","29505","24876","4046","...","110","-","...","-","...","-","-","...","412","..."
"Água Azul do Norte (PA)","22084","14413","5388","...","-","11","...","-","...","-","-","...","2228","..."
"Alenquer (PA)","41784","34685","5827","...","96","62","...","-","...","-","-","...","736","..."
"Almeirim (PA)","33957","25996","5493","...","288","110","...","-","...","37","-","...","1843","..."
"Altamira (PA)","77439","51102","14422","...","381","224","...","-","...","-","-","...","8345","..."
"Anajás (PA)","18322","12297","5386","...","-","-","...","-","...","-","-","...","529","..."
"Ananindeua (PA)","393569","263499","89753","...","2461","3579","...","26","...","1077","8","...","26493","..."
"Anapu (PA)","9407","6129","2004","...","-","-","...","-","...","-","-","...","940","..."
"Augusto Corrêa (PA)","33011","30000","2479","...","70","-","...","-","...","-","-","...","339","..."
