"Tabela 137 - População residente, por religião"
"Variável - População residente (Pessoas)"
"Município","Ano x Religião"
"Município","2000"
"Município","Total","Católica Apostólica Romana","Evangélicas","Outras religiosidades cristãs","Testemunhas de Jeová","Espírita","Umbanda e Candomblé","Judaica","Judaísmo","Budismo","Islâmica","Islamismo","Sem religião","Não determinada e multiplo pertencimento"
"Ipiranga do Piauí (PI)","8428","7744","511","...","22","-","...","-","...","-","-","...","150","..."
"Isaías Coelho (PI)","7658","7414","226","...","-","-","...","-","...","-","-","...","12","..."
"Itainópolis (PI)","10381","9603","654","...","13","-","...","-","...","-","-","...","72","..."
"Itaueira (PI)","10347","9409","633","...","85","-","...","-","...","-","-","...","194","..."
"Jacobina do Piauí (PI)","5690","5006","367","...","-","-","...","-","...","-","-","...","306","..."
"Jaicós (PI)","15859","13806","1462","...","-","-","...","-","...","-","-","...","510","..."
"Jardim do Mulato (PI)","3990","3451","279","...","-","-","...","-","...","-","-","...","233","..."
"Jatobá do Piauí (PI)","4314","3957","219","...","-","-","...","-","...","-","-","...","130","..."
"Jerumenha (PI)","4515","4127","281","...","12","-","...","-","...","-","-","...","76","..."
"João Costa (PI)","3025","2833","121","...","-","-","...","-","...","-","-","...","71","..."
"Joaquim Pires (PI)","13076","12111","217","...","4","-","...","-","...","-","-","...","718","..."
"Joca Marques (PI)","4349","4149","112","...","-","-","...","-","...","-","-","...","51","..."
"José de Freitas (PI)","32858","31524","648","...","261","10","...","-","...","-","-","...","342","..."
"Juazeiro do Piauí (PI)","4523","4331","185","...","-","-","...","-","...","-","-","...","-","..."
"Júlio Borges (PI)","4866","4360","484","...","-","-","...","-","...","-","-","...","-","..."
"Jurema (PI)","4047","3497","218","...","6","-","...","-","...","-","-","...","321","..."
"Lagoinha do Piauí (PI)","2231","1790","237","...","7","-","...","-","...","-","-","...","190","..."
"Lagoa Alegre (PI)","6849","6638","175","...","-","-","...","-","...","-","-","...","22","..."
"Lagoa do Barro do Piauí (PI)","4450","3618","794","...","-","-","...","-","...","-","-","...","33","..."
"Lagoa de São Francisco (PI)","5795","5550","105","...","-","-","...","-","...","-","-","...","140","..."
"Lagoa do Piauí (PI)","3488","3370","96","...","-","-","...","-","...","-","-","...","19","..."
"Lagoa do Sítio (PI)","4138","3886","172","...","14","-","...","-","...","-","-","...","67","..."
"Landri Sales (PI)","5628","5245","228","...","33","-","...","-","...","-","-","...","108","..."
"Luís Correia (PI)","24253","22016","1604","...","32","-","...","-","...","-","-","...","584","..."
"Luzilândia (PI)","24042","22384","884","...","67","13","...","-","...","-","-","...","648","..."
"Madeiro (PI)","6771","6257","284","...","-","-","...","-","...","-","-","...","220","..."
"Manoel Emídio (PI)","5151","4896","83","...","-","-","...","-","...","-","-","...","164","..."
"Marcolândia (PI)","6178","5140","572","...","63","-","...","-","...","-","-","...","401","..."
"Marcos Parente (PI)","4279","3488","450","...","4","-","...","-","...","-","-","...","337","..."
"Massapê do Piauí (PI)","5988","5715","207","...","-","-","...","-","...","-","-","...","61","..."
"Matias Olímpio (PI)","9727","8466","465","...","46","15","...","-","...","-","-","...","168","..."
"Miguel Alves (PI)","29849","27469","867","...","99","-","...","-","...","-","-","...","1373","..."
"Miguel Leão (PI)","1370","1094","198","...","-","-","...","-","...","-","-","...","63","..."
"Milton Brandão (PI)","6900","6350","143","...","-","4","...","-","...","-","-","...","388","..."
"Monsenhor Gil (PI)","10309","9325","779","...","20","6","...","-","...","-","-","...","128","..."
"Monsenhor Hipólito (PI)","6764","6553","140","...","-","-","...","-","...","-","-","...","70","..."
"Monte Alegre do Piauí (PI)","10230","9273","439","...","6","-","...","-","...","-","-","...","486","..."
"Morro Cabeça no Tempo (PI)","4426","3820","468","...","-","-","...","-","...","-","-","...","7","..."
"Morro do Chapéu do Piauí (PI)","6006","5626","232","...","-","-","...","-","...","-","-","...","137","..."
"Murici dos Portelas (PI)","6375","5297","217","...","24","-","...","-","...","-","-","...","837","..."
"Nazaré do Piauí (PI)","7805","7388","284","...","51","5","...","-","...","-","-","...","46","..."
"Nazária (PI)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Nossa Senhora de Nazaré (PI)","3726","3694","12","...","-","-","...","-","...","-","-","...","20","..."
"Nossa Senhora dos Remédios (PI)","7214","6429","90","...","-","-","...","-","...","-","-","...","682","..."
"Novo Oriente do Piauí (PI)","6760","6506","187","...","-","6","...","-","...","-","-","...","35","..."
"Novo Santo Antônio (PI)","3155","3029","122","...","-","-","...","-","...","-","-","...","-","..."
"Oeiras (PI)","33910","31269","1797","...","63","68","...","-","...","-","-","...","588","..."
"Olho D'Água do Piauí (PI)","2283","2039","124","...","-","-","...","-","...","-","-","...","101","..."
"Padre Marcos (PI)","7283","6068","661","...","-","-","...","-","...","-","-","...","549","..."
"Paes Landim (PI)","4184","3677","431","...","5","-","...","-","...","-","-","...","71","..."
"Pajeú do Piauí (PI)","2894","2633","117","...","-","-","...","-","...","-","-","...","141","..."
"Palmeira do Piauí (PI)","5199","4968","189","...","-","-","...","-","...","-","-","...","34","..."
"Palmeirais (PI)","12154","11211","360","...","4","-","...","-","...","-","-","...","529","..."
"Paquetá (PI)","4386","4258","120","...","-","-","...","-","...","-","-","...","3","..."
"Parnaguá (PI)","9345","8458","737","...","-","-","...","-","...","-","-","...","138","..."
"Parnaíba (PI)","132282","113128","11394","...","758","460","...","-","...","-","-","...","5665","..."
"Passagem Franca do Piauí (PI)","4195","3817","356","...","-","-","...","-","...","-","-","...","13","..."
"Patos do Piauí (PI)","5634","5202","196","...","-","-","...","-","...","-","-","...","198","..."
"Pau D'Arco do Piauí (PI)","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Paulistana (PI)","16529","15096","1103","...","27","-","...","-","...","-","-","...","262","..."
"Pavussu (PI)","3973","3674","155","...","-","-","...","-","...","-","-","...","144","..."
"Pedro II (PI)","36201","33834","1195","...","229","26","...","-","...","-","-","...","789","..."
"Pedro Laurentino (PI)","2002","1880","122","...","-","-","...","-","...","-","-","...","-","..."
"Nova Santa Rita (PI)","4150","4122","28","...","-","-","...","-","...","-","-","...","-","..."
"Picos (PI)","68974","63444","3773","...","275","175","...","-","...","8","-","...","1167","..."
"Pimenteiras (PI)","11306","10220","854","...","13","-","...","-","...","-","-","...","179","..."
"Pio IX (PI)","16505","15426","500","...","47","44","...","-","...","-","-","...","428","..."
"Piracuruca (PI)","24786","22700","1625","...","33","-","...","-","...","-","-","...","416","..."
"Piripiri (PI)","60154","56301","2530","...","74","19","...","-","...","-","-","...","1057","..."
"Porto (PI)","10573","9734","446","...","48","-","...","-","...","-","-","...","306","..."
"Porto Alegre do Piauí (PI)","2421","2232","187","...","-","-","...","-","...","-","-","...","2","..."
"Prata do Piauí (PI)","3117","2641","148","...","87","-","...","-","...","-","-","...","241","..."
"Queimada Nova (PI)","8332","8129","111","...","-","-","...","-","...","-","-","...","19","..."
"Redenção do Gurguéia (PI)","7781","6806","481","...","-","-","...","49","...","-","-","...","439","..."
"Regeneração (PI)","17471","16021","591","...","80","-","...","-","...","-","-","...","696","..."
"Riacho Frio (PI)","4321","3979","242","...","-","7","...","-","...","-","-","...","84","..."
"Ribeira do Piauí (PI)","3879","3657","188","...","27","-","...","-","...","-","-","...","-","..."
"Ribeiro Gonçalves (PI)","5722","5268","437","...","-","-","...","-","...","-","-","...","17","..."
"Rio Grande do Piauí (PI)","6131","5840","233","...","-","-","...","-","...","-","-","...","41","..."
"Santa Cruz do Piauí (PI)","5776","5380","287","...","44","-","...","-","...","-","-","...","59","..."
"Santa Cruz dos Milagres (PI)","3334","2984","147","...","-","-","...","-","...","-","-","...","190","..."
"Santa Filomena (PI)","6031","5753","244","...","20","-","...","-","...","-","-","...","-","..."
"Santa Luz (PI)","4780","4347","359","...","-","-","...","-","...","-","-","...","16","..."
"Santana do Piauí (PI)","4595","4399","63","...","24","-","...","-","...","-","-","...","100","..."
"Santa Rosa do Piauí (PI)","5223","4960","182","...","-","-","...","-","...","-","-","...","23","..."
"Santo Antônio de Lisboa (PI)","5154","4939","159","...","-","-","...","-","...","-","-","...","51","..."
"Santo Antônio dos Milagres (PI)","1876","1559","186","...","-","-","...","-","...","-","-","...","113","..."
"Santo Inácio do Piauí (PI)","3447","3424","21","...","2","-","...","-","...","-","-","...","-","..."
"São Braz do Piauí (PI)","4192","4049","91","...","-","-","...","-","...","-","-","...","26","..."
"São Félix do Piauí (PI)","3397","3203","58","...","39","-","...","-","...","-","-","...","85","..."
"São Francisco de Assis do Piauí (PI)","3806","3756","37","...","-","-","...","-","...","-","-","...","-","..."
"São Francisco do Piauí (PI)","6442","6222","181","...","-","-","...","-","...","11","-","...","20","..."
"São Gonçalo do Gurguéia (PI)","2322","2017","269","...","-","-","...","-","...","-","-","...","36","..."
"São Gonçalo do Piauí (PI)","4249","3602","261","...","3","6","...","-","...","-","-","...","366","..."
"São João da Canabrava (PI)","4240","4094","116","...","-","-","...","-","...","-","-","...","25","..."
"São João da Fronteira (PI)","4886","4545","291","...","-","-","...","-","...","-","-","...","48","..."
"São João da Serra (PI)","6675","6252","341","...","-","-","...","-","...","-","-","...","72","..."
"São João da Varjota (PI)","4375","4200","154","...","-","-","...","-","...","-","-","...","16","..."
"São João do Arraial (PI)","5734","5405","232","...","-","-","...","-","...","-","-","...","90","..."
"São João do Piauí (PI)","17670","15976","1266","...","83","-","...","-","...","-","-","...","262","..."
"São José do Divino (PI)","4881","4596","191","...","-","-","...","-","...","-","-","...","90","..."
"São José do Peixe (PI)","3825","3719","89","...","16","-","...","-","...","-","-","...","1","..."
"São José do Piauí (PI)","6706","5837","607","...","-","-","...","-","...","-","-","...","259","..."
"São Julião (PI)","5700","4648","207","...","8","-","...","-","...","-","-","...","823","..."
"São Lourenço do Piauí (PI)","4274","3963","124","...","-","-","...","-","...","10","-","...","177","..."
"São Luis do Piauí (PI)","2488","2335","66","...","-","-","...","-","...","-","-","...","84","..."
"São Miguel da Baixa Grande (PI)","2030","1994","36","...","-","-","...","-","...","-","-","...","-","..."
"São Miguel do Fidalgo (PI)","2991","2845","108","...","-","-","...","-","...","-","-","...","38","..."
"São Miguel do Tapuio (PI)","18808","14728","388","...","82","-","...","-","...","-","-","...","3560","..."
"São Pedro do Piauí (PI)","12510","11303","683","...","40","-","...","-","...","-","-","...","455","..."
"São Raimundo Nonato (PI)","26890","24899","1588","...","87","-","...","-","...","-","-","...","194","..."
"Sebastião Barros (PI)","4524","4418","29","...","21","-","...","-","...","-","-","...","50","..."
"Sebastião Leal (PI)","3835","3540","294","...","-","-","...","-","...","-","-","...","-","..."
"Sigefredo Pacheco (PI)","9046","7909","612","...","-","-","...","-","...","-","-","...","504","..."
"Simões (PI)","13621","12121","774","...","-","-","...","-","...","-","-","...","719","..."
"Simplício Mendes (PI)","10966","10021","455","...","27","-","...","-","...","-","-","...","454","..."
"Socorro do Piauí (PI)","4675","4253","265","...","-","-","...","-","...","-","-","...","151","..."
"Sussuapara (PI)","5042","4902","79","...","-","-","...","-","...","-","-","...","57","..."
"Tamboril do Piauí (PI)","2413","1955","198","...","-","-","...","-","...","-","-","...","260","..."
"Tanque do Piauí (PI)","2318","1848","77","...","-","-","...","-","...","-","-","...","376","..."
"Teresina (PI)","715360","615851","59717","...","3938","3532","...","-","...","24","-","...","24161","..."
"União (PI)","39801","37501","1601","...","154","37","...","-","...","-","-","...","388","..."
"Uruçuí (PI)","17011","15649","698","...","23","-","...","-","...","-","-","...","618","..."
"Valença do Piauí (PI)","19887","17932","1243","...","35","-","...","-","...","-","-","...","627","..."
"Várzea Branca (PI)","5203","4764","348","...","-","-","...","-","...","-","-","...","69","..."
"Várzea Grande (PI)","4475","4188","111","...","8","-","...","-","...","-","-","...","162","..."
"Vera Mendes (PI)","2907","2638","210","...","-","-","...","-","...","-","-","...","45","..."
"Vila Nova do Piauí (PI)","2906","2531","270","...","-","-","...","-","...","5","-","...","86","..."
"Wall Ferraz (PI)","3983","3641","256","...","-","-","...","-","...","-","-","...","86","..."
"Abaiara (CE)","8385","8030","298","...","-","-","...","-","...","-","-","...","45","..."
"Acarape (CE)","12927","10815","1367","...","70","47","...","-","...","-","-","...","602","..."
"Acaraú (CE)","48968","42883","3556","...","64","12","...","-","...","-","-","...","2194","..."
"Acopiara (CE)","47137","43973","1687","...","145","-","...","-","...","-","-","...","1085","..."
"Aiuaba (CE)","14452","13549","616","...","9","-","...","-","...","-","-","...","268","..."
"Alcântaras (CE)","9548","9402","41","...","10","-","...","-","...","-","-","...","75","..."
"Altaneira (CE)","5687","5473","90","...","-","-","...","-","...","-","-","...","122","..."
"Alto Santo (CE)","15394","14709","531","...","20","7","...","-","...","-","-","...","126","..."
"Amontada (CE)","32333","27304","3610","...","58","-","...","-","...","-","-","...","1256","..."
"Antonina do Norte (CE)","6509","6048","163","...","-","-","...","-","...","-","-","...","268","..."
"Apuiarés (CE)","12540","12305","187","...","4","-","...","-","...","-","-","...","16","..."
"Aquiraz (CE)","60469","50214","6227","...","173","73","...","-","...","-","-","...","3615","..."
"Aracati (CE)","61187","54004","4602","...","180","174","...","-","...","-","-","...","1973","..."
"Aracoiaba (CE)","24064","22406","1164","...","108","-","...","-","...","-","-","...","335","..."
"Ararendá (CE)","10008","9445","330","...","-","-","...","-","...","-","-","...","224","..."
"Araripe (CE)","19606","19073","172","...","-","-","...","-","...","-","-","...","309","..."
"Aratuba (CE)","12359","11228","960","...","-","-","...","-","...","-","-","...","161","..."
"Arneiroz (CE)","7538","7365","131","...","5","-","...","-","...","-","-","...","29","..."
"Assaré (CE)","20882","19593","902","...","-","-","...","-","...","-","-","...","301","..."
"Aurora (CE)","25207","24636","315","...","128","-","...","-","...","-","-","...","96","..."
"Baixio (CE)","5830","5494","222","...","-","-","...","-","...","-","-","...","62","..."
"Banabuiú (CE)","16173","14026","1263","...","24","19","...","-","...","9","-","...","800","..."
"Barbalha (CE)","47031","45047","1469","...","120","-","...","-","...","-","-","...","337","..."
"Barreira (CE)","17024","13855","2385","...","41","-","...","-","...","-","-","...","735","..."
"Barro (CE)","20007","19388","399","...","41","13","...","-","...","4","-","...","122","..."
"Barroquinha (CE)","13921","13113","277","...","14","-","...","-","...","-","-","...","508","..."
"Baturité (CE)","29861","27376","1092","...","84","59","...","-","...","-","-","...","921","..."
"Beberibe (CE)","42343","37522","3621","...","141","86","...","-","...","-","-","...","904","..."
"Bela Cruz (CE)","28358","27644","312","...","22","11","...","-","...","-","-","...","307","..."
"Boa Viagem (CE)","50306","46520","3032","...","92","-","...","-","...","-","-","...","516","..."
"Brejo Santo (CE)","38484","36197","1682","...","19","37","...","-","...","-","-","...","407","..."
"Camocim (CE)","55448","47908","2679","...","254","22","...","-","...","-","-","...","4246","..."
"Campos Sales (CE)","25566","24456","717","...","20","-","...","-","...","-","-","...","338","..."
"Canindé (CE)","69601","65541","3093","...","174","93","...","-","...","-","9","...","501","..."
"Capistrano (CE)","15830","14914","764","...","-","-","...","-","...","-","-","...","149","..."
"Caridade (CE)","15604","14892","569","...","-","14","...","-","...","-","-","...","96","..."
"Cariré (CE)","18617","17298","767","...","-","-","...","-","...","-","-","...","506","..."
"Caririaçu (CE)","25733","25300","120","...","-","-","...","-","...","-","-","...","295","..."
"Cariús (CE)","18444","16428","1169","...","56","-","...","-","...","-","-","...","735","..."
"Carnaubal (CE)","15230","14221","529","...","-","-","...","-","...","-","-","...","480","..."
"Cascavel (CE)","57129","50617","4667","...","254","41","...","-","...","-","9","...","1295","..."
"Catarina (CE)","15547","14516","766","...","51","-","...","-","...","-","-","...","164","..."
"Catunda (CE)","9286","8858","221","...","31","-","...","-","...","-","-","...","162","..."
"Caucaia (CE)","250479","197695","34318","...","1807","828","...","-","...","52","-","...","13584","..."
"Cedro (CE)","24062","22471","1363","...","62","-","...","-","...","-","-","...","108","..."
"Chaval (CE)","12163","11298","699","...","5","-","...","-","...","-","-","...","150","..."
"Choró (CE)","12001","10974","784","...","-","3","...","-","...","-","-","...","212","..."
"Chorozinho (CE)","18707","16338","1981","...","-","-","...","-","...","-","-","...","341","..."
"Coreaú (CE)","19981","17252","511","...","-","-","...","-","...","-","-","...","2044","..."
"Crateús (CE)","70898","61962","4045","...","1368","275","...","-","...","-","-","...","3187","..."
"Crato (CE)","104646","95965","3297","...","157","577","...","19","...","-","-","...","3623","..."
"Croatá (CE)","16064","15567","309","...","65","-","...","-","...","-","-","...","67","..."
"Cruz (CE)","19779","18655","484","...","-","-","...","-","...","-","-","...","449","..."
"Deputado Irapuan Pinheiro (CE)","8385","7918","386","...","-","-","...","-","...","-","-","...","81","..."
"Ererê (CE)","6302","5980","231","...","-","-","...","-","...","-","-","...","77","..."
"Eusébio (CE)","31500","25035","4303","...","60","228","...","-","...","8","-","...","1729","..."
"Farias Brito (CE)","20315","19415","434","...","45","-","...","-","...","-","-","...","403","..."
"Forquilha (CE)","17488","15610","1476","...","56","-","...","-","...","-","-","...","297","..."
"Fortaleza (CE)","2141402","1682225","269469","...","13758","17780","...","193","...","786","41","...","128190","..."
"Fortim (CE)","12066","10746","957","...","42","7","...","-","...","-","-","...","303","..."
"Frecheirinha (CE)","11832","10904","494","...","6","-","...","-","...","-","-","...","411","..."
"General Sampaio (CE)","4866","4645","82","...","-","-","...","-","...","-","-","...","110","..."
"Graça (CE)","14813","14182","443","...","-","-","...","-","...","5","-","...","111","..."
"Granja (CE)","48484","45818","1081","...","193","15","...","-","...","-","-","...","1318","..."
"Granjeiro (CE)","5295","5194","4","...","-","-","...","-","...","-","-","...","96","..."
"Groaíras (CE)","8741","7926","617","...","14","16","...","-","...","-","-","...","138","..."
"Guaiúba (CE)","19884","16831","1629","...","16","-","...","-","...","-","-","...","1355","..."
"Guaraciaba do Norte (CE)","35037","33267","1176","...","70","-","...","-","...","-","-","...","443","..."
"Guaramiranga (CE)","5714","5413","137","...","69","-","...","-","...","-","-","...","91","..."
"Hidrolândia (CE)","17687","15251","1348","...","-","-","...","-","...","-","-","...","1061","..."
"Horizonte (CE)","33790","26116","4559","...","160","-","...","-","...","-","-","...","2692","..."
"Ibaretama (CE)","12561","11118","986","...","-","-","...","-","...","-","-","...","433","..."
"Ibiapina (CE)","22157","21449","461","...","79","-","...","-","...","-","-","...","131","..."
"Ibicuitinga (CE)","9435","8689","626","...","-","-","...","-","...","-","-","...","105","..."
"Icapuí (CE)","16052","13672","1649","...","-","-","...","-","...","-","-","...","704","..."
"Icó (CE)","62521","57462","2644","...","176","-","...","-","...","-","-","...","2079","..."
"Iguatu (CE)","85615","76372","6708","...","534","10","...","-","...","-","-","...","1890","..."
"Independência (CE)","25262","23551","1130","...","121","6","...","-","...","-","-","...","386","..."
"Ipaporanga (CE)","11247","10492","576","...","15","-","...","-","...","-","-","...","164","..."
"Ipaumirim (CE)","11539","10729","498","...","13","-","...","-","...","-","-","...","270","..."
"Ipu (CE)","39078","37019","1219","...","129","22","...","-","...","-","-","...","599","..."
"Ipueiras (CE)","38219","35692","1234","...","235","-","...","-","...","-","-","...","977","..."
"Iracema (CE)","13155","12151","314","...","53","-","...","-","...","-","-","...","630","..."
"Irauçuba (CE)","19560","17455","1652","...","54","-","...","-","...","-","-","...","370","..."
"Itaiçaba (CE)","6579","6078","357","...","-","32","...","-","...","9","-","...","76","..."
"Itaitinga (CE)","29217","24647","2871","...","116","13","...","-","...","-","-","...","1506","..."
"Itapajé (CE)","41093","35426","4090","...","86","9","...","-","...","-","-","...","1316","..."
"Itapipoca (CE)","94369","82295","8606","...","418","50","...","-","...","-","-","...","2623","..."
"Itapiúna (CE)","16276","14421","1393","...","-","-","...","-","...","-","-","...","448","..."
"Itarema (CE)","30347","27370","1592","...","-","42","...","-","...","-","-","...","1254","..."
"Itatira (CE)","15541","14641","792","...","-","-","...","-","...","-","-","...","80","..."
"Jaguaretama (CE)","18024","17379","363","...","48","91","...","-","...","-","-","...","120","..."
"Jaguaribara (CE)","8730","8309","246","...","-","-","...","-","...","-","-","...","170","..."
"Jaguaribe (CE)","35062","31894","2254","...","97","-","...","-","...","-","-","...","745","..."
"Jaguaruana (CE)","29735","27786","1325","...","102","12","...","-","...","-","-","...","482","..."
"Jardim (CE)","26900","25480","701","...","29","-","...","-","...","-","-","...","653","..."
"Jati (CE)","7265","6781","314","...","-","-","...","-","...","-","-","...","165","..."
"Jijoca de Jericoacoara (CE)","12089","10681","472","...","13","11","...","-","...","7","-","...","836","..."
"Juazeiro do Norte (CE)","212133","198991","9493","...","468","491","...","-","...","77","-","...","2044","..."
"Jucás (CE)","22632","21153","903","...","56","-","...","-","...","-","-","...","418","..."
"Lavras da Mangabeira (CE)","31360","28981","802","...","69","-","...","-","...","-","-","...","1388","..."
"Limoeiro do Norte (CE)","49620","45379","1773","...","397","336","...","-","...","-","-","...","1633","..."
"Madalena (CE)","14864","14262","448","...","-","-","...","-","...","-","-","...","133","..."
"Maracanaú (CE)","179732","135328","27794","...","1603","724","...","-","...","48","-","...","12196","..."
"Maranguape (CE)","88135","74087","9718","...","342","169","...","-","...","11","-","...","3286","..."
"Marco (CE)","20427","19808","382","...","72","-","...","-","...","-","-","...","123","..."
"Martinópole (CE)","8602","8299","175","...","-","-","...","-","...","-","-","...","99","..."
"Massapê (CE)","29574","27723","693","...","274","51","...","-","...","-","-","...","803","..."
"Mauriti (CE)","42399","40480","1442","...","100","5","...","-","...","-","-","...","300","..."
"Meruoca (CE)","11339","10841","387","...","8","-","...","-","...","-","-","...","90","..."
"Milagres (CE)","26959","25566","1121","...","12","21","...","-","...","4","-","...","90","..."
"Milhã (CE)","13028","12571","408","...","-","-","...","-","...","-","-","...","33","..."
"Miraíma (CE)","11417","10565","632","...","-","-","...","-","...","-","-","...","163","..."
"Missão Velha (CE)","32586","31247","1140","...","-","26","...","-","...","-","-","...","150","..."
"Mombaça (CE)","41215","37650","2858","...","35","-","...","-","...","-","-","...","616","..."
"Monsenhor Tabosa (CE)","16344","15200","716","...","23","-","...","-","...","-","-","...","395","..."
"Morada Nova (CE)","64400","56772","5601","...","65","16","...","-","...","-","-","...","1848","..."
"Moraújo (CE)","7046","6785","223","...","-","-","...","-","...","-","-","...","30","..."
"Morrinhos (CE)","17928","16548","1060","...","-","-","...","-","...","-","-","...","183","..."
"Mucambo (CE)","13811","12429","494","...","38","-","...","-","...","-","-","...","844","..."
"Mulungu (CE)","8964","8018","556","...","-","54","...","-","...","-","-","...","179","..."
"Nova Olinda (CE)","12077","11307","447","...","14","-","...","-","...","-","-","...","274","..."
"Nova Russas (CE)","29347","26954","1162","...","107","134","...","-","...","-","-","...","941","..."
"Novo Oriente (CE)","26119","23079","2001","...","72","-","...","-","...","-","-","...","891","..."
"Ocara (CE)","21584","20103","1123","...","-","-","...","-","...","-","-","...","252","..."
"Orós (CE)","22023","20022","1439","...","49","13","...","-","...","-","-","...","490","..."
"Pacajus (CE)","44070","35617","5059","...","343","10","...","-","...","30","-","...","2819","..."
"Pacatuba (CE)","51696","39344","7582","...","353","167","...","-","...","11","-","...","3299","..."
"Pacoti (CE)","10929","10375","430","...","-","4","...","-","...","-","-","...","106","..."
"Pacujá (CE)","5653","5408","125","...","-","-","...","-","...","-","-","...","107","..."
"Palhano (CE)","8166","7243","668","...","-","4","...","-","...","-","-","...","220","..."
"Palmácia (CE)","9859","9197","455","...","6","8","...","-","...","-","-","...","153","..."
"Paracuru (CE)","27541","23729","2535","...","75","-","...","-","...","-","-","...","1052","..."
"Paraipaba (CE)","25462","21636","3261","...","51","-","...","-","...","-","-","...","408","..."
"Parambu (CE)","32302","27560","4022","...","100","-","...","-","...","-","-","...","619","..."
"Paramoti (CE)","10970","10588","275","...","17","-","...","-","...","-","-","...","73","..."
"Pedra Branca (CE)","40742","37405","2230","...","42","7","...","-","...","-","-","...","902","..."
"Penaforte (CE)","7017","6405","480","...","14","-","...","-","...","-","-","...","114","..."
"Pentecoste (CE)","32600","30110","1871","...","96","-","...","-","...","-","-","...","464","..."
"Pereiro (CE)","15225","14487","289","...","34","-","...","-","...","-","-","...","301","..."
"Pindoretama (CE)","14951","13463","1111","...","6","-","...","-","...","-","-","...","350","..."
"Piquet Carneiro (CE)","13131","12300","514","...","42","-","...","-","...","-","-","...","258","..."
"Pires Ferreira (CE)","8643","8000","220","...","15","-","...","-","...","-","-","...","336","..."
"Poranga (CE)","11737","11009","433","...","4","6","...","-","...","-","-","...","273","..."
"Porteiras (CE)","15658","14824","704","...","-","24","...","-","...","-","-","...","107","..."
"Potengi (CE)","9258","8694","260","...","-","-","...","-","...","-","-","...","278","..."
"Potiretama (CE)","5768","5251","257","...","8","-","...","-","...","-","-","...","227","..."
"Quiterianópolis (CE)","18355","16110","1982","...","11","-","...","-","...","-","-","...","144","..."
"Quixadá (CE)","69654","61296","4845","...","239","239","...","-","...","37","-","...","2707","..."
"Quixelô (CE)","15596","13438","534","...","3","-","...","-","...","-","-","...","1620","..."
"Quixeramobim (CE)","59235","52242","4499","...","197","28","...","-","...","-","-","...","2022","..."
"Quixeré (CE)","16862","15768","600","...","135","55","...","-","...","-","-","...","283","..."
"Redenção (CE)","24993","21299","2346","...","98","45","...","-","...","-","-","...","1065","..."
"Reriutaba (CE)","21224","19416","617","...","34","-","...","-","...","-","-","...","1116","..."
"Russas (CE)","57320","52657","3255","...","288","96","...","-","...","-","-","...","924","..."
"Saboeiro (CE)","16226","14723","993","...","192","10","...","-","...","-","-","...","270","..."
"Salitre (CE)","13925","13191","569","...","-","-","...","-","...","-","-","...","44","..."
"Santana do Acaraú (CE)","26198","24837","1059","...","8","-","...","-","...","-","-","...","234","..."
"Santana do Cariri (CE)","16847","16229","275","...","97","-","...","-","...","-","-","...","178","..."
"Santa Quitéria (CE)","42375","40076","1272","...","103","-","...","-","...","12","-","...","794","..."
"São Benedito (CE)","39894","37451","1568","...","257","-","...","-","...","-","-","...","530","..."
"São Gonçalo do Amarante (CE)","35608","30179","3356","...","72","112","...","-","...","-","-","...","1767","..."
"São João do Jaguaribe (CE)","8650","7842","457","...","9","18","...","-","...","-","-","...","325","..."
"São Luís do Curu (CE)","11497","10240","755","...","10","-","...","-","...","-","8","...","468","..."
"Senador Pompeu (CE)","27225","24875","1298","...","42","-","...","-","...","-","-","...","965","..."
"Senador Sá (CE)","5605","5362","148","...","44","-","...","-","...","-","-","...","44","..."
"Sobral (CE)","155276","141706","7371","...","1050","124","...","-","...","-","-","...","3957","..."
"Solonópole (CE)","16902","16127","544","...","28","-","...","-","...","-","-","...","203","..."
"Tabuleiro do Norte (CE)","27098","24285","1571","...","62","77","...","-","...","-","-","...","1036","..."
"Tamboril (CE)","25973","24207","864","...","113","-","...","-","...","-","-","...","680","..."
"Tarrafas (CE)","9213","8557","378","...","11","3","...","-","...","-","-","...","224","..."
"Tauá (CE)","51948","44589","6012","...","230","-","...","-","...","-","-","...","905","..."
"Tejuçuoca (CE)","13519","12779","559","...","-","-","...","-","...","-","-","...","182","..."
"Tianguá (CE)","58069","53621","3172","...","245","65","...","-","...","-","-","...","777","..."
"Trairi (CE)","44527","40301","3361","...","42","11","...","-","...","-","-","...","732","..."
"Tururu (CE)","11498","10212","1095","...","-","-","...","-","...","-","-","...","174","..."
"Ubajara (CE)","27095","25282","970","...","294","69","...","-","...","-","-","...","460","..."
"Umari (CE)","7435","7179","77","...","13","-","...","-","...","-","-","...","142","..."
"Umirim (CE)","17343","15257","1398","...","16","-","...","-","...","-","-","...","660","..."
"Uruburetama (CE)","16444","14652","1508","...","-","-","...","10","...","-","-","...","260","..."
"Uruoca (CE)","11479","10715","652","...","3","-","...","-","...","-","-","...","87","..."
"Varjota (CE)","16593","14794","1182","...","55","-","...","-","...","-","-","...","552","..."
"Várzea Alegre (CE)","34844","32126","1929","...","61","-","...","-","...","-","-","...","686","..."
